to eat,mangiare,mangio,mangi,mangia,mangiamo,mangiate,mangiano
to drink,bere,bevo,bevi,beve,beviamo,bevete,bevono
to be,essere,sono,sei,e,siamo,siete,sono
to read,leggere,leggo,leggi,legge,leggiamo,leggete,leggono
to write,scrivere,scrivo,scrivi,scrive,scriviamo,scrivete,scrivono
to have,avere,ho,hai,ha,abbiamo,avete,hanno
to cut,tagliare,taglio,tagli,taglia,tagliamo,tagliate,tagliano
to cook,cucinare,cucino,cucini,cucina,cuciniamo,cucinate,cucinano
to boil,bollire,bollo,bolli,bolle,bolliamo,bollite,bollono
to eat lunch,pranzare,pranzo,pranzi,pranza,pranziamo,pranzate,pranzano
to eat dinner,cenare,ceno,ceni,cena,ceniamo,cenate,cenano
to buy,comprare,compro,compri,compra,compriamo,comprate,comprano
to want,volere,voglio,vuoi,vuole,vogliamo,volete,vogliono
to feel,stare,sto,stai,sta,stiamo,state,stanno
to come,venire,vengo,vieni,viene,veniamo,venite,vengono
to make,fare,facco,fai,fa,facciamo,fate,fanno
to go,andare,vado,vai,va,andiamo,andate,vanno
to know,sapere,so,sai,sa,sappiamo,sapete,sanno
to see,vedere,vedo,vedi,vede,vediamo,vedete,vedono
to say,dire,dico,dice,diciamo,dite,dicono
to find,trovare,trovo,trovi,trova,troviamo,trovate,travano
to give,dare,do,dai,da,diamo,date,danno
to speak,parlare,parlo,parli,parla,parliamo,parlate,parlano
to think,pensare,penso,pensi,pensa,pensiamo,pensate,pensano
to arrive,arrivare,arrivo,arrivi,arriva,arriviamo,arrivate,arrivano
to bring,portare,porto,porti,porta,portiamo,portate,portano
to take,prendere,prendo,prendi,prende,prendiamo,prendete,prendono
to put,mettere,metto,metti,mette,mettiamo,mettete,mettono
to leave,lasciare,lasco,lasci,lasce,lasciamo,lasciate,lasciano
to remain,rimanere,rimano,rimani,rimane,rimaniamo,rimanette,rimangono
to believe,credere,credo,credi,crede,crediamo,credete,credono
to hear,sentire,sento,senti,sente,sentiamo,sentite,sentono
to understand,capire,capisco,capisci,capisce.capiamo,capite,capiscono
to become,diventare,divento,diventi,diventa,diventiamo,diventate,diventano
to work,lavorare,lavoro,lavori,lavora,lavoriamo,lavorate,lavorano
to remember,ricordare,ricordo,ricordi,ricorda,ricordiamo,ricordate,ricordano
to call,chiamare,chiamo,chiami,chiama,chiamiamo,chiamate,chiamano
to enter,entrare,entro,entri,entra,entriamo,entrate,entrano
to live,vivere,vivo,vivi,vive,viviamo,vivete,vivono
to use,usare,uso,usi,usa,usiamo,usate,usano
to open,aprire,apro,apri,apre,apriamo,aprite,aprono
to wait,aspettare,aspetto,aspetti,aspetta,aspettiamo,aspettate,aspettano
to follow,seguire,seguo,segui,segue,seguiamo,seguite,seguono
to decide,decidere,decido,decidi,decide,decidiamo,decidete,decidono
to watch,guardare,guardo,guardi,guarde,guardiamo,guardate,guardano
to like,piacere,piaccio,piaci,piace,piaciamo,piacete,piaciono
to finish,finire,finisco,finisci,finiamo,finite,finiscono
to ask,chiedere,chiedo,chiede,chiediamo,chiedete,chiedono
to die,morire,muoio,muori,muore,moriamo,morite,muoiono
to keep,tenere,tengo,tieni,tiene,teniamo,tenete,tengono
to know personally,conoscere,conosco,conosci,conosce,conosciamo,conoscete,conoscono
